Author,Title
"Russell S, Norvig P",Artificial Intelligence: a modern approach
"Witten IH, Frank E, Hall MA, et al",Data Mining: practical Machine Learning tools and techniques
"Zaki MJ, Meira Jr, W",Data Mining and analysis: fundamental concepts and algorithms
"Passfield L, Hopker JG",A mine of information: can sports analytics provide wisdom from your data? Int J Sports Physiol Perform
"Rein R, Memmert D",Big data and tactical analysis in elite soccer: future challenges and opportunities for sports science
"Blei DM, Smyth P",Science and data science
"Bunker RP, Thabtah F",A machine learning framework for sport result prediction
"Israni ST, Verghese A",Hu manizing artificial intelligence
"Shortliffe EH, Sepúlveda MJ",Clinical decision support in the era of artificial intelligence
Baker M,Data science: industry allure
"Jordan MI1, Mitchell TM2","Machine learning: trends, perspectives, and prospects"
"McCall A, Davison M, Carli ng C, et al",Can off-field ‘brains ’provide a competitive advantage in professi onal football? Br J Sports Med
Nassis GP,Leadership in science and medicine: can you see the gap? Sci Med Football
"Borresen J, Lambert MI","The quantification of training load, the training response and the effect on performance"
"López-Valenciano A, Ayala F, Puerta JM, et al",A preventive model for muscle injuries: a novel approach based on learning algorithms
"Novatchkov H, Baca A",Artificial intelligence in sports on the example of weight training
"Moher D, Liberati A, Tetzlaff J, Altman DG, PRISMA Group",Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement
"Saw AE, Main LC, Gastin PB",Monitoring the athlete training response: subjective self-reported measures trump commonly used objective measures: a systematic review
"Horsley T, Dingwall O, Sampson M",Checking reference lists to find additional studies for systematic reviews
Li C,Predict the neural network mathematical model of basketball team scores based on improved BP algorithm
Lu G,Evaluation model of young basketball players ’physical quality and basic technique based on RBF neural network
Wu L,The participating team ’s technical analysis of women ’s basketball in the 30th Olympic Games based on neural network
Zhang Q,Prediction based on basketball competition video athlete behaviors and on-line RBF neural network application
"Kempe M, Grunz A, Memmert D",Detecting tactical patterns in basketball: comparison of merge self-organising maps and dynamic controlled neural networks
"Bianchi F, Facchinetti T, Zuccolotto P",Role revolution: towards a new meaning of positions in basketball
"Tilp M, Schrapf N",Analysis of tactical defensive behavior in team handball by means of artificial neural networks
"Hassan A, Schrapf N, Ramadan W, et a l",Evaluation of ta ctical training in team handball by means of artificial neural networks
"Hassan A, Schrapf N, Tilp M",The prediction of action positions in team handball by non-linear hybrid neural networks
"Schrapf N, Alsaied S, Tilp M",Tactical interaction of offensive and defensive teams in team handball analysed by artificial neural networks
